DateTime;SecurityId;Shares;AmountEur;Type;Cancelled;TargetWeight
01.10.2017;1;30;30000;1;0;0.10;
01.10.2017;2;30;30000;1;0;0.10;
01.10.2017;3;30;30000;1;0;0.10;
01.10.2017;4;30;30000;1;0;0.10;
01.10.2017;5;30;30000;1;0;0.10;
01.10.2017;6;30;30000;1;0;0.10;
01.10.2017;7;30;30000;1;0;0.10;
01.10.2017;8;30;30000;1;0;0.10;
01.10.2017;9;30;30000;1;0;0.10;
01.10.2017;10;30;30000;1;0;0.10;

04.10.2017;10;-15;12000;3;0;0.05;
04.10.2017;9;-15;10000;3;0;0.05;
04.10.2017;11;10;30000;1;0;0.10;

08.10.2017;9;30;20000;2;0;0.0;
08.10.2017;1;-15;30000;3;0;0.05;

15.10.2017;10;15;32000;3;0;0.05;
15.10.2017;11;10;25000;1;0;0.10;


25.10.2017;10;30;32000;3;0;0.20;
