TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
05.01.2000 00:00:00;39;344;10000.0;1;0;0.1;0.1000;10000.08
05.01.2000 00:00:00;40;304;10000.0;1;0;0.1;0.1000;9996.5232
05.01.2000 00:00:00;16;253;10000.0;1;0;0.1;0.0999;9994.2586
05.01.2000 00:00:00;11;153;10000.0;1;0;0.1;0.0998;9983.25
05.01.2000 00:00:00;14;497;10000.0;1;0;0.1;0.1000;9996.658
05.01.2000 00:00:00;23;128;10000.0;1;0;0.1;0.0994;9943.0400
05.01.2000 00:00:00;1;131;10000.0;1;0;0.1;0.1000;9999.6230
05.01.2000 00:00:00;27;300;10000.0;1;0;0.1;0.0998;9984.6004
05.01.2000 00:00:00;31;98;10000.0;1;0;0.1;0.0998;9977.3798
05.01.2000 00:00:00;9;41;10000.0;1;0;0.1;0.0998;9982.8437
